"latitude","longitude","track_id","time"
"-109,393,413,858,164","-370,627,421,097,422","1","9/13/2014 7:24"
"-10,939,341,385,769","-370,627,421,097,809","1","9/13/2014 7:24"
"-109,393,239,478,718","-370,627,645,137,212","1","9/13/2014 7:24"
"-109,392,105,616,561","-370,628,430,455,445","1","9/13/2014 7:24"
"-109,389,389,789,911","-370,628,785,984,113","1","9/13/2014 7:24"
"-109,385,435,911,514","-370,628,386,631,358","1","9/13/2014 7:24"
"-109,383,460,576,505","-370,625,875,627,021","1","9/13/2014 7:25"
"-109,384,484,455,051","-370,619,998,251,528","1","9/13/2014 7:25"
"-109,386,660,746,204","-370,614,989,339,645","1","9/13/2014 7:25"
"-109,389,862,284,613","-370,608,192,197,261","1","9/13/2014 7:25"
"-109,393,429,131,892","-370,600,866,959,415","1","9/13/2014 7:25"
"-109,396,414,360,875","-370,595,030,996,298","1","9/13/2014 7:25"
"-109,398,579,141,531","-370,591,213,205,945","1","9/13/2014 7:25"
"-109,400,772,902,018","-370,587,290,032,396","1","9/13/2014 7:25"
"-109,403,891,021,306","-370,582,908,757,149","1","9/13/2014 7:25"
"-109,407,463,806,047","-370,579,922,269,229","1","9/13/2014 7:25"
"-109,411,793,936,124","-370,576,397,274,353","1","9/13/2014 7:26"
"-109,414,799,027,875","-370,573,913,752,163","1","9/13/2014 7:26"
"-10,941,532,508,608","-370,573,457,786,884","1","9/13/2014 7:26"
"-10,941,532,508,608","-370,573,457,786,884","1","9/13/2014 7:26"
"-10,941,532,508,608","-370,573,457,786,884","1","9/13/2014 7:26"
"-10,941,532,508,608","-370,573,457,786,884","1","9/13/2014 7:26"
"-10,941,532,508,608","-370,573,457,786,884","1","9/13/2014 7:26"
"-10,941,532,508,608","-370,573,457,786,884","1","9/13/2014 7:26"
"-10,941,532,508,608","-370,573,457,786,884","1","9/13/2014 7:26"
"-10,941,532,508,608","-370,573,457,786,884","1","9/13/2014 7:26"
"-109,415,422,095,559","-3,705,733,795,467","1","9/13/2014 7:26"
"-109,417,422,658,859","-370,571,659,304,346","1","9/13/2014 7:27"
"-109,421,000,724,016","-37,056,833,161,463","1","9/13/2014 7:27"
"-109,424,436,046,914","-370,565,510,553,466","1","9/13/2014 7:27"
"-10,942,783,282,087","-370,563,672,194,186","1","9/13/2014 7:27"
"-109,430,483,969,072","-370,562,007,891,263","1","9/13/2014 7:27"
"-109,430,896,255,589","-370,558,792,710,436","1","9/13/2014 7:27"
"-10,943,157,098,505","-370,552,885,005,004","1","9/13/2014 7:27"
"-1,094,331,306,032","-37,054,664,512,767","1","9/13/2014 7:27"
"-109,434,934,531,745","-370,539,906,272,633","1","9/13/2014 7:27"
"-109,437,307,342,081","-370,531,333,557,592","1","9/13/2014 7:27"
"-109,439,490,705,934","-370,523,363,894,564","1","9/13/2014 7:27"
"-109,440,888,068,829","-37,051,916,335,502","1","9/13/2014 7:28"
"-109,441,134,427,653","-37,051,844,717,417","1","9/13/2014 7:28"
"-109,441,646,601,166","-370,516,450,552,908","1","9/13/2014 7:28"
"-109,442,224,036,202","-370,512,781,900,614","1","9/13/2014 7:28"
"-10,944,110,383,763","-370,510,435,425,217","1","9/13/2014 7:28"
"-109,437,149,513,471","-370,510,003,278,261","1","9/13/2014 7:28"
"-109,431,917,869,049","-370,509,992,649,818","1","9/13/2014 7:28"
"-109,426,620,243,735","-370,509,779,955,345","1","9/13/2014 7:28"
"-109,422,370,402,321","-37,050,899,772,868","1","9/13/2014 7:28"
"-109,418,834,994,225","-370,507,762,933,952","1","9/13/2014 7:28"
"-109,416,974,315,862","-370,507,029,806,928","1","9/13/2014 7:28"
